tc_name,index,product_template_name,account_template_name,cycle_interval,cycle_due_interval,first_cycle_interval,account_effective_dt,roll_date,acc_cycle_interval,acc_first_cycle_interval,transaction_type,cycle_number_1,cycle_number_2,exp_cycle_inclusive_start_1,exp_cycle_inclusive_start_2,exp_cycle_exclusive_end_1,exp_cycle_exclusive_end_2,min_pay_due_at,exp_status,detailed_error_message
PP1191-Verify account is cycled and Account Statement is generated based on the Cycle interval specified - 7 days,1,payment_product_cycle_interval.json,account_payment_cycle_interval.json,7 days,2 days,delete,2021-11-28T02:18:27-08:00,2021-12-15T11:15:03-05:00,7 days,delete,statement,0,1,2021-11-28T05:18:27-05:00,2021-12-06T00:00:00-05:00,2021-12-06T00:00:00-05:00,2021-12-13T00:00:00-05:00,FALSE,200,
PP1192-Verify account is cycled and Account Statement is generated based on the Cycle interval specified - 30 days,2,payment_product_cycle_interval.json,account_payment_cycle_interval.json,30 days,1 days,delete,2021-10-10T02:18:27-08:00,2021-12-15T11:15:03-05:00,30 days,delete,statement,0,1,2021-10-10T06:18:27-04:00,2021-11-10T00:00:00-05:00,2021-11-10T00:00:00-05:00,2021-12-10T00:00:00-05:00,FALSE,200,
PP1193-Verify account is cycled and Account Statement is generated based on the Cycle interval specified - 1 month,3,payment_product_cycle_interval.json,account_payment_cycle_interval.json,1 month,1 day,delete,2021-10-10T02:18:27-08:00,2021-12-15T11:15:03-05:00,1 month,delete,statement,0,1,2021-10-10T06:18:27-04:00,2021-11-11T00:00:00-05:00,2021-11-11T00:00:00-05:00,2021-12-11T00:00:00-05:00,FALSE,200,
PP1194-Verify account is cycled and Account Statement is generated based on the Cycle interval specified at account level if account level set up is done,4,payment_product_cycle_interval.json,account_payment_cycle_interval.json,1 month,2  days,delete,2021-10-10T02:18:27-08:00,2021-12-15T11:15:03-05:00,7 days,delete,statement,0,1,2021-10-10T02:18:27-04:00,2021-12-18T00:00:00-05:00,2021-12-18T00:00:00-05:00,2021-12-25T00:00:00-05:00,FALSE,200,
PP1195-Verify the due dates on the AM schedule for the installments accounts,5,payment_product.json,account_payment_cycle_interval.json,1 month,1 days,delete,2021-11-15T02:18:27-08:00,2021-12-15T11:15:03-05:00,1 month,delete,AM_schedule,,,,,,,2021-12-17T00:00:00-05:00,200,
PP1196-Verify if positive the first due date is Cycle date plus the number of the cycle due interval days,6,payment_product.json,account_payment_cycle_interval.json,1 month,2 days,delete,2021-11-15T02:18:27-08:00,2021-12-15T11:15:03-05:00,1 month,delete,AM_schedule,,,,,,,2021-12-18T00:00:00-05:00,200,
PP1197-Verify if negative the Second due date is Cycle date minus the number of the cycle due interval days is the first due date,7,payment_product.json,account_payment_cycle_interval.json,1 month,-2 days,delete,2021-11-15T02:18:27-08:00,2021-12-15T11:15:03-05:00,1 month,delete,AM_schedule,,,,,,,2022-01-14T00:00:00-05:00,200,
PP1198-Verify Cycle Due interval cannot be set up greater than the Cycle interval,8,payment_product_cycle_interval.json,account_payment_cycle_interval.json,7 days,10 days,delete,2021-11-28T02:18:27-08:00,2021-12-15T11:15:03-05:00,7 days,delete,,,,,,,,,400,
PP1200-Verify the First Cycle interval should determine the Cycle date for the First cycle from the Origination date,9,payment_product_cycle_interval.json,account_payment_cycle_interval.json,7 days,2 days,5 days,2021-12-01T02:18:27-05:00,2021-12-20T11:15:03-05:00,,5 days,AM_schedule,,,,,,,2021-12-09T00:00:00-05:00,200,
PP1201-Verify the impact of First Cycle interval  parameter set up to 0 ,10,payment_product_cycle_interval.json,account_payment_cycle_interval.json,7 days,2 days,0 days,2021-12-01T02:18:27-05:00,2021-12-20T11:15:03-05:00,,0 days,AM_schedule,,,,,,,2021-12-04T00:00:00-05:00,200,
PP1202-Verify the impact of First Cycle interval  parameter if not set up,11,payment_product_cycle_interval.json,account_payment_cycle_interval.json,7 days,2 days,delete,2021-12-01T02:18:27-05:00,2021-12-20T11:15:03-05:00,,delete,AM_schedule,,,,,,,2021-12-11T00:00:00-05:00,200,
PP1203-Verify First cycle interval set up at Account level overrides this parameter setup at Product level,12,payment_product_cycle_interval.json,account_payment_cycle_interval.json,7 days,2 days,30 days,2021-11-01T02:18:27-05:00,2021-12-20T11:15:03-05:00,,7 days ,AM_schedule,,,,,,,2021-11-11T00:00:00-05:00,200,
