account_tc_id,tc_name,index,transaction_type,roll_date,effective_at,amount,event_type,retro_line_item_type,is_processed,line_item_id,event_start,statement_id,statement_seq,validation_message
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP 854A - Account activity events - Charge for intial principal,1,validation,2020-11-02,2020-11-01T,,CHARGE,,TRUE,not null,null,not null,null,Verify initial principal amount is processed
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP 854B - Scheduled events - Loan Tape,2,validation,,2020-11-02T,,LOAN_TAPE,,FALSE,null,2020-11-01T,null,null,Verify loan tape event is not processed on next day of account opening
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP845 - Scheduled events - Statement cuts,4,validation,2020-11-03,2020-12-02T,,STATEMENT,,FALSE,null,2020-11-02T,null,2,Verify Scheduled events - Statement Due date
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP849 - Scheduled events - Due dates - Monthly Fees,5,validation,,2020-12-01T,,MONTH_FEE,,FALSE,null,2020-11-01T,null,null,Verify Scheduled events - Due dates - Monthly Fees
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP850 - Scheduled events - Due dates - Annual Fees,6,validation,,2021-01-01T,,YEAR_FEE,,FALSE,null,2020-11-01T,null,null,Verify Scheduled events - Due dates - Annual Fees
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP848 - Scheduled events - Due dates - Late Fees,7,validation,2020-11-28,2020-11-28T,,LATE_FEE,,FALSE,null,2020-11-02T,null,null,Verify Scheduled events - Due dates - Late Fees
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP846 - Account activity events- Statement,8,validation,2020-12-03,2020-12-02T,,STATEMENT,,TRUE,null,2020-11-02T,null,2,Verify Statement is processed
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP845A - Scheduled events - Statement next cycle after processing,9,validation,,2021-01-02T,,STATEMENT,,FALSE,null,2020-12-02T,null,3,Veirfy Schedule events - Statement scheduled for next cycle
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP857 - Account activity events - Late Fees,10,validation,,2020-11-28T,,LATE_FEE,,TRUE,not null,2020-11-02T,not null,null,Verify Account activity events - Late Fee
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP857A - Account activity events - Monthly Fees,11,validation,,2020-12-01T,,MONTH_FEE,,TRUE,not null,2020-11-01T,not null,null,Verify Account activity events - Monthly Fee
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP857B - Scheduled events - Due dates - Monthly Fees next cycle after processing,12,validation,,2021-01-01T,,MONTH_FEE,,FALSE,null,2020-12-01T,null,null,Veirfy Scheduled events - for next month - Monthly Fees
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP850A - Account activity events - Annual Fees,13,validation,2021-01-02,2021-01-01T,,YEAR_FEE,,TRUE,not null,2020-11-01T,not null,null,Verify Account activity events - Annual Fee
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP850B - Scheduled events - Due dates - Annual Fees next cycle after processing,14,validation,,2022-01-01T,,YEAR_FEE,,FALSE,null,2021-01-01T,null,null,Verify Scheduled events - for next year - Annual Fees
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP855 -  Charges transaction,15,charge,,2021-01-10T12:16:16-00:00,1000,,,,,,not null,,
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP856 - Payments transaction,16,payment,,2021-01-11T12:16:16-00:00,2000,,,,,,not null,,
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP855 - Account activity events - Charges,17,validation,2021-01-15,2021-01-10T,,CHARGE,,TRUE,not null,null,not null,null,Verify Account activity events - Charges
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP856 - Account activity events - Payments,18,validation,,2021-01-11T,,PAYMENT,,TRUE,not null,null,not null,null,Verify Account activity events - Payments
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP863 - Back dated payments,19,payment,,2021-01-14T12:16:16-00:00,1000,,,,,,,,
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP864 - Back dated Charges,20,charge,,2021-01-13T12:16:16-00:00,2000,,,,,,,,
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP863 - Account activity events - back dated payments,21,validation,2021-01-18,2021-01-14T,,PAYMENT,,TRUE,not null,null,not null,null,Verify Account activity events - back dated charges
PP845 - Events - Charge Loan Tape Payment Late Month and Year Fee,PP864 - Account activity events - back dated Charges,22,validation,,2021-01-13T,,CHARGE,,TRUE,not null,null,not null,null,Verify Account activity events - back dated payments
PP859 - Events - Account Status,PP859 - Account activity events - Suspend / Delinquency,23,validation,2021-09-10,2021-09-01,,SUSPENDED,,TRUE,null,null,null,null,Verify Account activity events - Suspend / Delinquency
PP859 - Events - Account Status,PP860 - Account activity events- Closed/Chargeoff,24,validation,2021-11-10,2021-11-01,,CHARGEOFF,,TRUE,null,null,null,null,Verify Account activity events - Closed/Chargeoff
PP851 - Events - Promotional and Purchase window end,PP851 -  Scheduled events - Due dates - Promotional window end,25,validation,2021-09-03,2021-11-02T,,PROMO_END,,FALSE,null,2021-09-01T,null,null,Verify Scheduled events - Promotional window end
PP851 - Events - Promotional and Purchase window end,PP851A -  Account activity events -  Promotional window end,26,validation,2021-11-05,2021-11-02T,,PROMO_END,,TRUE,null,2021-09-01T,null,null,Verify Activity activity events - Promotional window end
PP851 - Events - Promotional and Purchase window end,PP851B - Account activity events - Purchase window end,27,validation,,2021-10-02T,,PURCHASE_WINDOW_END,,TRUE,null,2021-09-01T,null,null,Verify Activity activity events - Purchase window end
PP861 - Events - Retroactive event Processing for - Payment reversals,PP861 - Payment transaction,28,payment,,2021-11-03T12:16:16-00:00,5000,,,,,,,,
PP861 - Events - Retroactive event Processing for - Payment reversals,PP861 - Payment reversals transaction,29,paymentreversal,,,,,,,,,,,
PP861 - Events - Retroactive event Processing for - Payment reversals,PP861 - Retroactive event Processing for - Payment reversals,30,validation,next_date,current_date,,RETRO,PAYMENT_REVERSAL,TRUE,not null,null,null,null,Verify Retroactive event Processing for - Payment reversals
