tc_name,index,product_creation,product_type,exp_product_file_name,cycle_interval,cycle_due_interval,product_promo_len,product_promo_min_pay_type,product_promo_purchase_window_len,product_promo_interest_deferred,promo_default_interest_rate_percent,product_promo_min_pay_percent,promo_apr_range_inclusive_lower,promo_apr_range_inclusive_upper,delinquent,charge_off,post_promo_len,post_promo_min_pay_type,post_promo_am_len_range_inclusive_lower,post_promo_am_len_range_inclusive_upper,post_promo_default_interest_rate_percent,post_promo_apr_range_inclusive_lower,post_promo_apr_range_inclusive_upper,account_template_name,credit_limit_cents,initial_principal_cents,account_effective_dt,promo_impl_interest_rate_percent,post_promo_impl_interest_rate_percent,post_promo_impl_am_len,,roll_date,transaction_type,exp_interest_balance_cents,exp_loan_end_date,,min_pay_due_at
PP1240-Verify promo_default_interest_rate_percent is used for interest calculations for account 1 under the product,1,TRUE,MIXED_RATE_INSTALLMENT,mixed_rate_installment_product.json,1 month,2 days,6,PERCENT_PRINCIPAL,5,FALSE,10,10,5,15,99,99999,12,AM,10,15,20,18,25,account_credit.json,100000,1000000,2021-06-25T00:00:00-08:00,-1,-1,-1,,2021-08-25T00:00:00-08:00,intCalc,8333,,,
PP1240-Verify promo_default_interest_rate_percent is used for interest calculations for account 2 under the product,2,,,,,,,,,,,,,,,,,,,,,,,account_credit.json,100000,5000000,2021-06-25T00:00:00-08:00,-1,-1,-1,,2021-08-25T00:00:00-08:00,intCalc,41666,,,
PP1240-Verify promo_default_interest_rate_percent is used for interest calculations for account 3 under the product,3,,,,,,,,,,,,,,,,,,,,,,,account_credit.json,100000,6000000,2021-06-25T00:00:00-08:00,-1,-1,-1,,2021-08-25T00:00:00-08:00,intCalc,50000,,,
PP1241-Verify promo_default_interest_rate_percent is used for interest calculations during promo period and settings at Account level will override the set up in the Product level,4,TRUE,MIXED_RATE_INSTALLMENT,mixed_rate_installment_product.json,1 month,2 days,6,PERCENT_PRINCIPAL,5,FALSE,5,20,5,15,99,99999,-1,AM,-1,-1,20,18,25,account_credit.json,100000,6000000,2021-06-25T00:00:00-08:00,30,-1,-1,,2021-08-25T00:00:00-08:00,intCalc,150000,,,
PP1242-Verify post_promo_len parameter defines the number of installments / dues in a Installment product and the account 1 under the Product,5,TRUE,INSTALLMENT,payment_product.json,1 month,2 days,-1,delete,-1,-1,-1,-1,-1,-1,99,99999,12,AM,10,15,20,18,25,account_credit.json,100000,6000000,2021-12-25T00:00:00-08:00,-1,-1,-1,AM Schedule/Loan end date in get specific account: Origndt+12 months,2021-08-25T00:00:00-08:00,getLoanEndDt,,2022-12-28T00:00:00-08:00,,
PP1242-Verify post_promo_len parameter defines the number of installments / dues in a Installment product and the account 2 under the Product,6,,,,,,,,,,,,,,,,,,,,,,,account_credit.json,100000,6000000,2021-12-25T00:00:00-08:00,-1,-1,-1,,2021-08-25T00:00:00-08:00,getLoanEndDt,,2022-12-28T00:00:00-08:00,,
PP1243-Verify post_promo_len parameter defined at account level defines the number of installments / dues in a Installment product account,7,TRUE,INSTALLMENT,payment_product.json,1 month,2 days,-1,delete,-1,-1,-1,-1,-1,-1,99,99999,12,AM,10,15,20,18,25,account_credit.json,100000,6000000,2021-12-25T00:00:00-08:00,-1,-1,24,,2021-08-25T00:00:00-08:00,getLoanEndDt,,2023-11-28T00:00:00-08:00,,
PP1244-Verify post_promo_min_pay_type - AM defines the Current due calculation method for the post-promotional period,8,TRUE,INSTALLMENT,payment_product.json,1 month,2 days,-1,delete,-1,-1,-1,-1,-1,-1,99,99999,24,AM,10,15,20,18,25,account_credit.json,100000,6000000,2021-06-25T00:00:00-08:00,-1,-1,-1,AM Schedule generated,2021-08-25T00:00:00-08:00,amSchedule,,,,2021-06-28T00:00:00-08:00
PP1245-Verify post_promo_min_pay_type - AM defines the Current due calculation method for the post-promotional period - for a Multi Adv Installment loan,9,TRUE,MIXED_RATE_INSTALLMENT,mixed_rate_installment_product.json,1 month,2 days,6,PERCENT_PRINCIPAL,5,FALSE,10,60,5,15,99,99999,24,AM,10,25,20,18,25,account_credit.json,100000,6000000,2021-05-25T00:00:00-08:00,-1,-1,-1,AM Schedule generated,2022-01-25T00:00:00-08:00,amSchedule,,,,2021-11-28T00:00:00-08:00
PP1246-Verify post_promo_default_interest_rate_percent is the Interest rate applied for Post promotion period for account 1 under a product,10,TRUE,INSTALLMENT,payment_product.json,1 month,2 days,-1,delete,-1,-1,-1,-1,-1,-1,99,99999,24,AM,10,25,20,18,25,account_credit.json,100000,6000000,2021-06-25T00:00:00-08:00,-1,-1,-1,,2021-08-25T00:00:00-08:00,intCalcPostPromo,100000,,,
PP1246-Verify post_promo_default_interest_rate_percent is the Interest rate applied for Post promotion period for account 2 under a product,11,,,,,,,,,,,,,,,,,,,,,,,account_credit.json,100000,6000000,2021-06-25T00:00:00-08:00,-1,-1,-1,,2021-08-25T00:00:00-08:00,intCalcPostPromo,100000,,,
PP1247-Verify post_promo_default_interest_rate_percent set up at Account level overrides the interest rate set up at Product level for the  Post promotion period ,12,TRUE,INSTALLMENT,payment_product.json,1 month,2 days,-1,delete,-1,-1,-1,-1,-1,-1,99,99999,24,AM,10,25,20,18,25,account_credit.json,100000,6000000,2021-06-25T00:00:00-08:00,-1,10,-1,,2021-08-25T00:00:00-08:00,intCalcPostPromo,50000,,,
