tc_name,index,delinquent,charge_off,cycle_interval,cycle_due_interval,first_cycle_interval,account_json_file_name,account_effective_dt,default_payment_process_method,processor_name,account_status
pp906 - ACH - verify repay call os created for suspended delinquent accounts,1,1,2,4 days,2 days,4 days,account_payment_processor_ach_repay.json,-30,ACH,REPAY,SUSPENDED
pp908 - ACH - verify repay call is created for closed chargeoff accounts,2,1,2,4 days,2 days,4 days,account_payment_processor_ach_repay.json,-30,ACH,REPAY,CLOSED
pp906A - Debit card - verify repay call is created for suspended delinquent accounts,3,1,3,4 days,2 days,4 days,account_payment_processor_debit_card_repay.json,-10,DEBIT_CARD,REPAY,SUSPENDED
pp908A - Debit card - verify repay call is created for closed chargeoff accounts,4,1,2,4 days,2 days,4 days,account_payment_processor_debit_card_repay.json,-30,DEBIT_CARD,REPAY,CLOSED
pp943 - Dwolla - verify dwolla call is created for suspended delinquent accounts,5,1,3,4 days,2 days,4 days,account_payment_processor_ach_dwolla.json,-10,ACH,DWOLLA,SUSPENDED
pp945 - Dwolla - verify dwolla call are created for closed chargeoff accounts,6,1,2,4 days,2 days,4 days,account_payment_processor_ach_dwolla.json,-30,ACH,DWOLLA,CLOSED
pp980 - Modern treasury - verify  modern treasury call is created for suspended delinquent accounts,7,1,3,4 days,2 days,4 days,account_payment_processor_ach_modern_treasury.json,-10,ACH,MODERN_TREASURY,SUSPENDED
pp982 - Modern treasury - verify modern treasury call is created for closed chargeoff accounts,8,1,2,4 days,2 days,4 days,account_payment_processor_ach_modern_treasury.json,-30,ACH,MODERN_TREASURY,CLOSED
pp1017 - Checkout - verify checkout call is created for suspended delinquent accounts,9,1,3,4 days,2 days,4 days,account_payment_processor_credit_card_checkout.json,-10,CREDIT_CARD,CHECKOUT,SUSPENDED
pp1019 - Checkout - verify checkout call is created for closed chargeoff accounts,10,1,2,4 days,2 days,4 days,account_payment_processor_credit_card_checkout.json,-30,CREDIT_CARD,CHECKOUT,CLOSED
