tc_name,index,account_json_file_name,account_effective_at,default_payment_process_method,processor_name,min_pay_due_at,check_event,event_status,event_start_date
pp872 - autopay with REPAY - account due date is fall in to current date,1,account_payment_processor_ach_repay.json,-63,ACH,REPAY,0,,,
pp873 - autopay with REPAY - account due date is fall in to holiday,2,account_payment_processor_ach_repay.json,2020-09-23T02:18:27-08:00,ACH,REPAY,2020-11-24T09:11:28+00:00,,,
pp874 - autopay with REPAY - validate payment line item is pending status in line item and event table,3,account_payment_processor_ach_repay.json,2021-08-26T02:18:27-08:00,ACH,REPAY,2021-10-27T09:11:28+00:00,TRUE,Created,2021-09-27T07:00:00+00:00
pp875 - autopay with REPAY - verify the Available credit in the account is not increased and the Total balance is not reduced ,4,account_payment_processor_ach_repay.json,2021-08-26T02:18:27-08:00,ACH,REPAY,2021-10-27T09:11:28+00:00,TRUE,Created,2021-09-27T07:00:00+00:00
pp888 - autopay with Debit card  - account due date is fall in to current date,5,account_payment_processor_debit_card_repay.json,-63,DEBIT_CARD,REPAY,0,,,
pp889 - autopay with Debit card - account due date is fall in to holiday,6,account_payment_processor_debit_card_repay.json,2020-09-23T02:18:27-08:00,DEBIT_CARD,REPAY,2020-11-24T09:11:28+00:00,,,
pp890 - autopay with Debit card - validate payment line item is pending status in line item and event table,7,account_payment_processor_debit_card_repay.json,2021-08-26T02:18:27-08:00,DEBIT_CARD,REPAY,2021-10-27T09:11:28+00:00,TRUE,Created,2021-09-27T07:00:00+00:00
pp891 - autopay with Debit card - verify the Available credit in the account is not increased and the Total balance is not reduced ,8,account_payment_processor_debit_card_repay.json,2021-08-26T02:18:27-08:00,DEBIT_CARD,REPAY,2021-10-27T09:11:28+00:00,TRUE,Created,2021-09-27T07:00:00+00:00
pp921 - autopay with DWOLLA - account due date is fall in to current date,9,account_payment_processor_ach_dwolla.json,-63,ACH,DWOLLA,0,,,
pp922 - autopay with DWOLLA - validate payment line item is pending status in line item and event table,10,account_payment_processor_ach_dwolla.json,2020-09-23T02:18:27-08:00,ACH,DWOLLA,2020-11-24T09:11:28+00:00,,,
pp923 - autopay with DWOLLA - verify the Available credit in the account is not increased and the Total balance is not reduced ,11,account_payment_processor_ach_dwolla.json,2021-08-26T02:18:27-08:00,ACH,DWOLLA,2021-10-27T09:11:28+00:00,TRUE,pending,2021-09-27T07:00:00+00:00
pp924 - autopay with DWOLLA - account due date is fall in to holiday,12,account_payment_processor_ach_dwolla.json,2021-08-26T02:18:27-08:00,ACH,DWOLLA,2021-10-27T09:11:28+00:00,TRUE,pending,2021-09-27T07:00:00+00:00
pp957 - autopay with Modern Treasury - account due date is fall in to current date,13,account_payment_processor_ach_modern_treasury.json,-63,ACH,MODERN_TREASURY,0,,,
pp958 - autopay with Modern Treasury - account due date is fall in to holiday,14,account_payment_processor_ach_modern_treasury.json,2020-09-23T02:18:27-08:00,ACH,MODERN_TREASURY,2020-11-24T09:11:28+00:00,,,
pp959 - autopay with Modern Treasury -  validate payment line item is pending status in line item and event table,15,account_payment_processor_ach_modern_treasury.json,2021-08-26T02:18:27-08:00,ACH,MODERN_TREASURY,2021-10-27T09:11:28+00:00,TRUE,approved,2021-09-27T07:00:00+00:00
pp960 - autopay with Modern Treasury - verify the Available credit in the account is not increased and the Total balance is not reduced ,16,account_payment_processor_ach_modern_treasury.json,2021-08-26T02:18:27-08:00,ACH,MODERN_TREASURY,2021-10-27T09:11:28+00:00,TRUE,approved,2021-09-27T07:00:00+00:00
pp995 - autopay with CheckOut - account due date is fall in to current date,17,account_payment_processor_credit_card_checkout.json,-63,CREDIT_CARD,CHECKOUT,0,,,
pp996 - autopay with CheckOut - account due date is fall in to holiday,18,account_payment_processor_credit_card_checkout.json,2020-09-23T02:18:27-08:00,CREDIT_CARD,CHECKOUT,2020-11-24T09:11:28+00:00,,,
pp997 - autopay with CheckOut -  validate payment line item is pending status in line item and event table,19,account_payment_processor_credit_card_checkout.json,2021-08-26T02:18:27-08:00,CREDIT_CARD,CHECKOUT,2021-10-27T09:11:28+00:00,TRUE,Authorized,2021-09-27T07:00:00+00:00
pp998 - autopay with CheckOut -  verify the Available credit in the account is not increased and the Total balance is not reduced ,20,account_payment_processor_credit_card_checkout.json,2021-08-26T02:18:27-08:00,CREDIT_CARD,CHECKOUT,2021-10-27T09:11:28+00:00,TRUE,Authorized,2021-09-27T07:00:00+00:00
